STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,icha11_hp,Classification of health care providers - SHA 2011,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:HLTH_SHA11_HP(1.0),Health care expenditure by provider,A,Annual,EUR_HAB,Euro per inhabitant,TOTAL,All providers of health care,AT,Austria,2023,,5779.7,,,,,
dataflow,ESTAT:HLTH_SHA11_HP(1.0),Health care expenditure by provider,A,Annual,EUR_HAB,Euro per inhabitant,TOTAL,All providers of health care,BE,Belgium,2023,,5467.94,,,,,
dataflow,ESTAT:HLTH_SHA11_HP(1.0),Health care expenditure by provider,A,Annual,EUR_HAB,Euro per inhabitant,TOTAL,All providers of health care,BG,Bulgaria,2023,,1163.32,,,,,
dataflow,ESTAT:HLTH_SHA11_HP(1.0),Health care expenditure by provider,A,Annual,EUR_HAB,Euro per inhabitant,TOTAL,All providers of health care,CY,Cyprus,2023,,2656.85,,,,,
dataflow,ESTAT:HLTH_SHA11_HP(1.0),Health care expenditure by provider,A,Annual,EUR_HAB,Euro per inhabitant,TOTAL,All providers of health care,CZ,Czechia,2023,,2461.83,,,,,
dataflow,ESTAT:HLTH_SHA11_HP(1.0),Health care expenditure by provider,A,Annual,EUR_HAB,Euro per inhabitant,TOTAL,All providers of health care,DE,Germany,2023,,5902.02,,,,,
dataflow,ESTAT:HLTH_SHA11_HP(1.0),Health care expenditure by provider,A,Annual,EUR_HAB,Euro per inhabitant,TOTAL,All providers of health care,DK,Denmark,2023,,6021.45,,,,,
dataflow,ESTAT:HLTH_SHA11_HP(1.0),Health care expenditure by provider,A,Annual,EUR_HAB,Euro per inhabitant,TOTAL,All providers of health care,EE,Estonia,2023,,2082,,,,,
dataflow,ESTAT:HLTH_SHA11_HP(1.0),Health care expenditure by provider,A,Annual,EUR_HAB,Euro per inhabitant,TOTAL,All providers of health care,EL,Greece,2023,,1816.24,,,,,
dataflow,ESTAT:HLTH_SHA11_HP(1.0),Health care expenditure by provider,A,Annual,EUR_HAB,Euro per inhabitant,TOTAL,All providers of health care,ES,Spain,2023,,2857.25,,,,,
dataflow,ESTAT:HLTH_SHA11_HP(1.0),Health care expenditure by provider,A,Annual,EUR_HAB,Euro per inhabitant,TOTAL,All providers of health care,FI,Finland,2023,,5116.65,,p,provisional,,
dataflow,ESTAT:HLTH_SHA11_HP(1.0),Health care expenditure by provider,A,Annual,EUR_HAB,Euro per inhabitant,TOTAL,All providers of health care,FR,France,2023,,4755.43,,,,,
dataflow,ESTAT:HLTH_SHA11_HP(1.0),Health care expenditure by provider,A,Annual,EUR_HAB,Euro per inhabitant,TOTAL,All providers of health care,HR,Croatia,2023,,1446.67,,,,,
dataflow,ESTAT:HLTH_SHA11_HP(1.0),Health care expenditure by provider,A,Annual,EUR_HAB,Euro per inhabitant,TOTAL,All providers of health care,HU,Hungary,2023,,1313.96,,,,,
dataflow,ESTAT:HLTH_SHA11_HP(1.0),Health care expenditure by provider,A,Annual,EUR_HAB,Euro per inhabitant,TOTAL,All providers of health care,IE,Ireland,2023,,6312.92,,,,,
dataflow,ESTAT:HLTH_SHA11_HP(1.0),Health care expenditure by provider,A,Annual,EUR_HAB,Euro per inhabitant,TOTAL,All providers of health care,IS,Iceland,2023,,6566.77,,,,,
dataflow,ESTAT:HLTH_SHA11_HP(1.0),Health care expenditure by provider,A,Annual,EUR_HAB,Euro per inhabitant,TOTAL,All providers of health care,IT,Italy,2023,,3037.35,,,,,
dataflow,ESTAT:HLTH_SHA11_HP(1.0),Health care expenditure by provider,A,Annual,EUR_HAB,Euro per inhabitant,TOTAL,All providers of health care,LT,Lithuania,2023,,1880.84,,,,,
dataflow,ESTAT:HLTH_SHA11_HP(1.0),Health care expenditure by provider,A,Annual,EUR_HAB,Euro per inhabitant,TOTAL,All providers of health care,LU,Luxembourg,2023,,6887.88,,,,,
dataflow,ESTAT:HLTH_SHA11_HP(1.0),Health care expenditure by provider,A,Annual,EUR_HAB,Euro per inhabitant,TOTAL,All providers of health care,LV,Latvia,2023,,1521.18,,,,,
dataflow,ESTAT:HLTH_SHA11_HP(1.0),Health care expenditure by provider,A,Annual,EUR_HAB,Euro per inhabitant,TOTAL,All providers of health care,MT,Malta,2023,,3286.28,,p,provisional,,
