STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,c_birth,Country/region of birth,age,Age class,unit,Unit of measure,sex,Sex,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:MIGR_POP3CTB(1.0),"Population on 1 January by age group, sex and country of birth",A,Annual,TOTAL,Total,TOTAL,Total,NR,Number,T,Total,AT,Austria,2023,,9104772,,,,,
dataflow,ESTAT:MIGR_POP3CTB(1.0),"Population on 1 January by age group, sex and country of birth",A,Annual,TOTAL,Total,TOTAL,Total,NR,Number,T,Total,BE,Belgium,2023,,11742796,,,,,
dataflow,ESTAT:MIGR_POP3CTB(1.0),"Population on 1 January by age group, sex and country of birth",A,Annual,TOTAL,Total,TOTAL,Total,NR,Number,T,Total,BG,Bulgaria,2023,,6447710,,,,,
dataflow,ESTAT:MIGR_POP3CTB(1.0),"Population on 1 January by age group, sex and country of birth",A,Annual,TOTAL,Total,TOTAL,Total,NR,Number,T,Total,CH,Switzerland,2023,,8815385,,,,,
dataflow,ESTAT:MIGR_POP3CTB(1.0),"Population on 1 January by age group, sex and country of birth",A,Annual,TOTAL,Total,TOTAL,Total,NR,Number,T,Total,CY,Cyprus,2023,,949084,,,,,
dataflow,ESTAT:MIGR_POP3CTB(1.0),"Population on 1 January by age group, sex and country of birth",A,Annual,TOTAL,Total,TOTAL,Total,NR,Number,T,Total,CZ,Czechia,2023,,10827529,,,,,
dataflow,ESTAT:MIGR_POP3CTB(1.0),"Population on 1 January by age group, sex and country of birth",A,Annual,TOTAL,Total,TOTAL,Total,NR,Number,T,Total,DE,Germany,2023,,83118501,,b,break in time series,,
dataflow,ESTAT:MIGR_POP3CTB(1.0),"Population on 1 January by age group, sex and country of birth",A,Annual,TOTAL,Total,TOTAL,Total,NR,Number,T,Total,DK,Denmark,2023,,5932654,,,,,
dataflow,ESTAT:MIGR_POP3CTB(1.0),"Population on 1 January by age group, sex and country of birth",A,Annual,TOTAL,Total,TOTAL,Total,NR,Number,T,Total,EE,Estonia,2023,,1365884,,,,,
dataflow,ESTAT:MIGR_POP3CTB(1.0),"Population on 1 January by age group, sex and country of birth",A,Annual,TOTAL,Total,TOTAL,Total,NR,Number,T,Total,EL,Greece,2023,,10401868,,,,,
dataflow,ESTAT:MIGR_POP3CTB(1.0),"Population on 1 January by age group, sex and country of birth",A,Annual,TOTAL,Total,TOTAL,Total,NR,Number,T,Total,ES,Spain,2023,,48085361,,,,,
dataflow,ESTAT:MIGR_POP3CTB(1.0),"Population on 1 January by age group, sex and country of birth",A,Annual,TOTAL,Total,TOTAL,Total,NR,Number,T,Total,FI,Finland,2023,,5563970,,,,,
dataflow,ESTAT:MIGR_POP3CTB(1.0),"Population on 1 January by age group, sex and country of birth",A,Annual,TOTAL,Total,TOTAL,Total,NR,Number,T,Total,FR,France,2023,,68277210,,p,provisional,,
dataflow,ESTAT:MIGR_POP3CTB(1.0),"Population on 1 January by age group, sex and country of birth",A,Annual,TOTAL,Total,TOTAL,Total,NR,Number,T,Total,HR,Croatia,2023,,3850894,,,,,
dataflow,ESTAT:MIGR_POP3CTB(1.0),"Population on 1 January by age group, sex and country of birth",A,Annual,TOTAL,Total,TOTAL,Total,NR,Number,T,Total,HU,Hungary,2023,,9599744,,,,,
dataflow,ESTAT:MIGR_POP3CTB(1.0),"Population on 1 January by age group, sex and country of birth",A,Annual,TOTAL,Total,TOTAL,Total,NR,Number,T,Total,IE,Ireland,2023,,5271395,,,,,
dataflow,ESTAT:MIGR_POP3CTB(1.0),"Population on 1 January by age group, sex and country of birth",A,Annual,TOTAL,Total,TOTAL,Total,NR,Number,T,Total,IS,Iceland,2023,,387758,,,,,
dataflow,ESTAT:MIGR_POP3CTB(1.0),"Population on 1 January by age group, sex and country of birth",A,Annual,TOTAL,Total,TOTAL,Total,NR,Number,T,Total,IT,Italy,2023,,58997201,,,,,
dataflow,ESTAT:MIGR_POP3CTB(1.0),"Population on 1 January by age group, sex and country of birth",A,Annual,TOTAL,Total,TOTAL,Total,NR,Number,T,Total,LI,Liechtenstein,2023,,39677,,,,,
dataflow,ESTAT:MIGR_POP3CTB(1.0),"Population on 1 January by age group, sex and country of birth",A,Annual,TOTAL,Total,TOTAL,Total,NR,Number,T,Total,LT,Lithuania,2023,,2857279,,,,,
dataflow,ESTAT:MIGR_POP3CTB(1.0),"Population on 1 January by age group, sex and country of birth",A,Annual,TOTAL,Total,TOTAL,Total,NR,Number,T,Total,LU,Luxembourg,2023,,660809,,,,,
dataflow,ESTAT:MIGR_POP3CTB(1.0),"Population on 1 January by age group, sex and country of birth",A,Annual,TOTAL,Total,TOTAL,Total,NR,Number,T,Total,LV,Latvia,2023,,1895239,,,,,
dataflow,ESTAT:MIGR_POP3CTB(1.0),"Population on 1 January by age group, sex and country of birth",A,Annual,TOTAL,Total,TOTAL,Total,NR,Number,T,Total,MT,Malta,2023,,542051,,,,,
dataflow,ESTAT:MIGR_POP3CTB(1.0),"Population on 1 January by age group, sex and country of birth",A,Annual,TOTAL,Total,TOTAL,Total,NR,Number,T,Total,NL,Netherlands,2023,,17811291,,,,,
dataflow,ESTAT:MIGR_POP3CTB(1.0),"Population on 1 January by age group, sex and country of birth",A,Annual,TOTAL,Total,TOTAL,Total,NR,Number,T,Total,NO,Norway,2023,,5488984,,,,,
dataflow,ESTAT:MIGR_POP3CTB(1.0),"Population on 1 January by age group, sex and country of birth",A,Annual,TOTAL,Total,TOTAL,Total,NR,Number,T,Total,PL,Poland,2023,,36753736,,ep,"estimated, provisional",,
